word,part_of_speech
anhållande,subst
anhåller,ver
anhängare,subst
anhöll,se anhålle
anhörig,adj
animalisk,adj
animerad,adj
aning,subst
aningslös,adj
anis,subst
anka,subst
ankar,subst
ankare,subst
ank-damm,subst
ankel,subst
anklagar,ver
anklagelse,subst
anklang,subst
ankn,förk
anknyter,ver
anknytning,subst
anknytnings-fall,subst
ankommer,ver
ankomst,subst
ankrar,ver
anlag,subst
anledning,subst
anlete,subst
anlitar,ver
anlägger,ver
anläggning,subst
anländer,ver
anlöper,ver
anmanar,ver
anmodan,subst
anmodar,ver
anmälan,subst
anmäler,ver
anmälning,subst
anmärker,ver
anmärkning,subst
anmärknings-värd,adj
annalkande 1,adj
annalkande 2,subst
annan,pron
annandag,subst
annanstans,adv
annars,adv
annekterar,ver
annex,subst
annons,subst
annonserar,ver
annorlunda 1,adj
annorlunda 2,adv
annorstädes,adv
annullerar,ver
anonym,adj
anor,subst
anorak,subst
anordnar,ver
anordning,subst
anorexi,subst
anpassar,ver
anpasslig,adj
anpassning,subst
anpassnings-bidrag,se bostadsanpassningsbidra
anpassnings-grupp,subst
anrik,adj
anrikar,ver
anropar,ver
anrättar,ver
anrättning,subst
ansamling,subst
ansar,ver
ansats,subst
ansedd,adj
anseende,subst
ansenlig,adj
anser,ver
ansikte,subst
ansikts-lyftning,subst
ansjovis,subst
anskaffar,ver
anskrämlig,adj
anslag,subst
ansluter,ver
anslutning,subst
anslår,ver
anspelar,ver
anspråk,subst
anspråkslös,adj
anstalt,subst
anstiftar,ver
anstormning,subst
anstränger,ver
ansträngning,subst
anstå,ver
anstånd,subst
anstår,ver
anställd,adj
anställer,ver
anställning,subst
anställnings-skydd,subst
anständig,adj
anstöt,subst
anstötlig,adj
ansvar,subst
ansvarar,ver
ansvarig,adj
ansvars-frihet,subst
ansvarslös,adj
ansåg,se anse
ansätter,ver
ansökan,subst
ansöker,ver
ansökning,subst
antagande,subst
antagande-poäng,subst
antagit,se anta
antagligen,adv
antagonist,subst
antal,subst
antar,ver
antastar,ver
antecknar,ver
anteckning,subst
antenn,subst
anti-,förle
antibiotika,subst
anti-hjälte,subst
antik,adj
antiken,subst
anti-klimax,subst
anti-kropp,subst
antikvariat,subst
antikverad,adj
antikvitet,subst
antingen,konj
anti-semit,subst
anti-septisk,adj
antog,se anta
antologi,subst
antropologi,subst
anträffar,ver
antydan,subst
antyder,ver
antydning,subst
antågande,subst
antänder,ver
anvisar,ver
anvisning,subst
användbar,adj
använder,ver
användning,subst
aorta,subst
AP-fonden,nam
apa,subst
apanage,subst
apar efter,ver
apart,adj
apartheid,subst
apati,subst
apatisk,adj
apelsin,subst
aperitif,subst
apokalyptisk,adj
apostel,subst
apostrof,subst
apotek,subst
apparat,subst
apparatur,subst
appell,subst
appellerar,ver
appendicit,subst
appendix,subst
applicerar,ver
applikation,subst
applåd,subst
applåderar,ver
apport 1,interj
apport 2,subst
apporterar,ver
approach,subst
aprikos,subst
april,subst
april-väder,subst
apropå,prep
apterar,ver
aptit,subst
arab 1,subst
arab 2,subst
Arabförbundet,nam
arabiska,subst
arbetar,ver
arbetar in,ver
arbetar över,ver
arbetare,subst
arbetar-kommun,subst
arbetar-rörelse,subst
arbetar-skydd,subst
Arbetarskyddsnämnden,nam
Arbetarskyddsstyrelsen,nam
arbete,subst
arbetsam,adj
arbets-biträde,subst
Arbetsdomstolen,nam
arbets-för,adj
arbets-förmedling,subst
arbetsgivar-avgift,subst
arbets-givare,subst
arbetsgivar-inträde,subst
arbets-grupp,subst
arbets-kraft,subst
arbetslös,adj
arbetslös-het,subst
arbetslöshets-försäkring,subst
arbetslöshets-kassa,se A-kass
arbets-marknad,subst
Arbetsmarknadsdepartementet,nam
Arbetsmarknadsstyrelsen,se AM
arbetsmarknads-stöd,subst
arbetsmarknads-utbildning,se AM
Arbetsmiljölagen,nam
arbets-namn,subst
arbets-nedläggelse,subst
arbets-plats,subst
arbets-prövning,subst
arbets-skada,subst
arbetsskade-försäkring,subst
arbets-skygg,adj
arbets-styrka,subst
arbets-tagare,subst
arbets-terapeut,subst
arbets-terapi,subst
Arbetstidslagen,nam
arbets-tillstånd,se A
arbets-träning,subst
arbets-vecka,subst
arbets-vård,subst
area,subst
areal,subst
arena,subst
arg,adj
argentinare,subst
argentinsk,adj
argsint,adj
argument,subst
argumentation,subst
argumenterar,ver
aria,subst
aristokrat,subst
aristokrati,subst
aristokratisk,adj
ark 1,subst
ark 2,subst
arkad,subst
arkebuserar,ver
arkeolog,subst
arkeologi,subst
arketyp,subst
arkipelag,subst
arkitekt,subst
arkitektur,subst
arkiv,subst
arla,adv
arm 1,adj
arm 2,subst
armatur,subst
arm-band,subst
armbands-ur,subst
arm-bågar,ver
arm-båge,subst
armé,subst
armenier,subst
armenisk,adj
armeniska,subst
armerar,ver
armering,subst
arm-håla,subst
armod,subst
arom,subst
arrangemang,subst
arrangerar,ver
arrangör,subst
arrendator,subst
arrende,subst
arrenderar,ver
arrest,subst
arresterar,ver
arrogans,subst
arrogant,adj
arsel,se arsl
arsenal,subst
arsle,subst
art,subst
art director,subst
artar sig,ver
artificiell,adj
artig,adj
artikel,subst
artikulerar,ver
artilleri,subst
artist,subst
artistisk,adj
art-namn,subst
arton,räkn
artonhundra-tal,subst
artär,subst
arv,subst
arvinge,subst
arvlös,adj
arvode,subst
Arvsfonden,se Allmänna arvsfonde
arv-skifte,subst
arv-synd,subst
arvtagare,subst
as 1,subst
as 2,subst
asbest,subst
asfalt,subst
asfalterar,ver
asiat,subst
asiatisk,adj
asjett,se assiet
ask,subst
aska,subst
askar,ver
A-skatt,subst
asket,subst
ask-fat,subst
ask-kopp,subst
askonsdagen,subst
asocial,adj
asp,subst
aspekt,subst
aspirant,subst
aspirerar,ver
ass,förk
assiett,subst
assimilerar,ver
assistent,subst
assisterar,ver
assistens,subst
association,subst
associerar,ver
assurans,subst
assurerar,ver
assyrier,subst
assyrisk,adj
aster,subst
asterisk,subst
astigmatisk,adj
astma,subst
astrologi,subst
astronaut,subst
astronomi,subst
asyl,subst
AT,förk
atavistisk,adj
ateist,subst
ateljé,subst
atlant-,förle
Atlanten,nam
Atlant-pakten,nam
atlas,subst
atlet,subst
atmosfär,subst
atom,subst
atom-bomb,subst
atom-kraft,subst
atom-vapen,subst
ATP,förk
ATP-grundande inkomst,subst
ATP-poäng,subst
att 1,infinitivmärk
att 2,konj
att:,förk
attaché,subst
