word,part_of_speech
dom-kraft,subst
dom-kyrka,subst
domnar,ver
domnar av,ver
dom-prost,subst
dom-saga,subst
dom-slut,subst
dom-stol,subst
domän,subst
Domänverket,nam
don,subst
donation,subst
donerar,ver
dop,subst
dopar,ver
dop-funt,subst
dopp,subst
doppar,ver
Doppare-dagen,nam
dopping,subst
dos,subst
dosa,subst
doserings-anvisning,subst
dossier,subst
dotter,subst
dotter-bolag,subst
dov,adj
dov-hjort,subst
drabbar,ver
drabbning,subst
drack,se dricke
drag,subst
dragen,adj
drager,se dra
dragg,subst
draggar,ver
drag-hjälp,subst
dragig,adj
dragit,se dra
drag-kamp,subst
drag-kedja,subst
dragning,subst
dragnings-kraft,subst
dragon,subst
drag-plåster,subst
drag-spel,subst
drake,subst
drama,subst
dramatik,subst
dramatiserar,ver
dramatisk,adj
draperi,subst
drar,ver
drar av,ver
drar igång,ver
drar in,ver
drar sig,ver
drar ut,ver
drar åt,ver
dras med,ver
drastisk,adj
dreglar,ver
drejar,ver
dress,subst
dresserar,ver
dressing,subst
drev 1,se drive
drev 2,subst
dribblar,ver
dribbling,subst
dricka,subst
dricker,ver
dricks,subst
dricks-peng,subst
dricks-vatten,subst
drift,subst
driftig,adj
drill 1,subst
drill 2,subst
drillar,ver
drill-borr,subst
drink,subst
dristar sig,ver
driva,subst
driv-bänk,subst
drive,subst
drive-in-,förle
driven 1,adj
driven 2,subst
driver,ver
driver fram,ver
driver igenom,ver
driver upp,ver
driv-hus,subst
drivit,se drive
driv-kraft,subst
driv-medel,subst
drog 1,se dra
drog 2,subst
dromedar,subst
dropp,subst
droppar,ver
droppe,subst
droska,subst
drottning,subst
drottning-sylt,subst
drucken,adj
druckit,se dricke
drulle,subst
drummel,subst
drunknar,ver
drunkning,subst
drupit,se drype
druva,subst
druvsocker,subst
dryck,subst
dryftar,ver
dryg,adj
drygt,adv
drypande,adv
dryper,ver
dryper av,ver
dråp,subst
dråplig,adj
dråp-slag,subst
dråsar,ver
dräglig,adj
dräkt,subst
dräktig,adj
dräktighet,subst
dräller,ver
drämmer till,ver
dräng,subst
dränker,ver
dräpande,adj
dräper,ver
dräper av,ver
dröjer,ver
dröjs-mål,subst
dröm,subst
drömmare,subst
drömmer,ver
drönare,subst
dröp,se drype
drös,subst
du,pron
duar,ver
dubb,subst
dubbar,ver
dubbel,adj
dubbel-bottnad,adj
dubbel-gångare,subst
dubbel-moral,subst
dubbelt,adv
dubblar,ver
dubblerar,ver
dubblett,subst
duckar,ver
duell,subst
duett,subst
duffel,subst
duger,ver
dugg,subst
duggar,ver
dugg-regn,subst
duglig,adj
dugt,se duge
duk,subst
dukar,ver
dukar under,ver
dukar upp,ver
duktig,adj
dum,adj
dumbom,subst
dum-burk,subst
dum-dristig,adj
dumhet,subst
dummar sig,ver
dumpar,ver
dun,subst
dunder,subst
dundrar,ver
dunge,subst
dunk 1,subst
dunk 2,subst
dunkar,ver
dunkel,adj
duns,subst
dunsar,ver
dunstar,ver
duo,subst
duperar,ver
duplicerar,ver
dur,subst
durk,subst
durkdriven,adj
durkslag,subst
dus,subst
dusch,subst
duschar,ver
dussin,subst
dust,subst
duva,subst
duv-unge,subst
dvala,subst
dvs,se d v 
dvärg,subst
dy,subst
dy-blöt,adj
dyft,subst
dygd,subst
dygn,subst
dykare,subst
dyker,ver
dyker upp,ver
dykt,se dyke
dylik,pron
dyn,subst
dyna,subst
dynamisk,adj
dynamit,subst
dynamo,subst
dynasti,subst
dynga,subst
dyning,subst
dyr,adj
dyrbar,adj
dyrgrip,subst
dyrk,subst
dyrkar,ver
dyr-köpt,adj
dyr-ort,subst
dysenteri,subst
dyster,adj
då 1,adv
då 2,konj
dåd,subst
dålig,adj
dålighet,subst
dåligt,adv
dån,subst
dånar,ver
dåre,subst
dåsar,ver
dåsig,adj
dåvarande,adj
däck 1,se kassettdäc
däck 2,subst
dägg-djur,subst
dämmer,ver
dämpar,ver
dänger till,ver
där,adv
däran,adv
därborta,adv
därefter,adv
däremot,adv
därför,adv
därhän,adv
däri,adv
därifrån,adv
därigenom,adv
därmed,adv
därom,adv
därpå,adv
därtill,adv
därutöver,adv
därvidlag,adv
däst,adj
däven,adj
död 1,adj
död 2,subst
död(s)-,förle
dödar,ver
död-förklarar,ver
dödlig,adj
dödlighet,subst
död-läge,subst
döds-attest,subst
döds-bevis,subst
döds-bo,subst
dödsbo-anmälan,subst
döds-fall,subst
döds-hjälp,subst
död-skalle,subst
döds-runa,subst
döds-straff,subst
döds-trött,adj
dög,se duge
dök,se dyke
döljer,ver
dömer,ver
döper,ver
dör,ver
dörr,subst
dörr-knackning,subst
dött,se dö
döttrar,se dotte
döv,adj
döv-stum,adj
döv-örat,subst
e m,förk
e o,förk
ebb,subst
ed,subst
edda,subst
eder,se e
EEG,förk
effekt,subst
effektiv,adj
effektiviserar,ver
effektivitet,subst
efter 1,adv
efter 2,konj
efter 3,prep
efter hand,adv
efterapar,ver
efterbliven,adj
efterdyning,subst
efterforskning,subst
efterfrågan,subst
efterfrågar,ver
efterföljande,adj
efterföljd,subst
eftergift,subst
eftergiven,adj
efterhand 1,adv
efterhand 2,subst
efterhängsen,adj
efterhärmning,subst
efterkrigstid,subst
efterkälken,subst
efterlevande,subst
efterlevnad,subst
efterlyser,ver
efterlämnar,ver
efterlängtad,adj
eftermiddag,subst
efternamn,subst
efterräkning,subst
efterrätt,subst
eftersatt,adj
efterskott,subst
efterskänker,ver
eftersläng,subst
eftersläntrare,subst
eftersläpning,se släpar efte
eftersmak,subst
eftersnack,subst
eftersom,konj
efterspanar,ver
efterspel,subst
eftersträvar,ver
eftersänder,ver
eftersökt,adj
eftertanke,subst
eftertraktar,ver
eftertryck,subst
eftertrycklig,adj
efterträdare,subst
efterträder,ver
eftertänksam,adj
eftervård,subst
eftervärld,subst
efteråt,adv
eftr,förk
egen,adj
egen-art,subst
egen-avgift,subst
egendom,subst
egendomlig,adj
egenhet,subst
egen-händig,adj
egen-mäktig,adj
egen-namn,subst
egen-nytta,subst
egen-sinnig,adj
egenskap,subst
egentlig,adj
egentligen,adv
egg,subst
eggar,ver
egnahem,subst
ego,subst
egocentrisk,adj
egoism,subst
egoist,subst
ego-tripp,subst
egyptier,subst
ej,adv
ejder,subst
ek,subst
eka,subst
ekar,ver
eker,subst
EKG,förk
ekipage,subst
ekipering,subst
eko,subst
eko-,förle
ekologi,subst
ekonom,subst
ekonomi,subst
ekonomi-biträde,subst
ekonomi-klass,subst
ekonomisk,adj
ekorre,subst
ekorr-hjul,subst
eksem,subst
ekumenisk,adj
ekvation,subst
ekvator,subst
el,förk
elak,adj
elakartad,adj
elakhet,subst
elaking,subst
elastisk,adj
eld,subst
eldar,ver
eldbegängelse-byrå,subst
eld-dop,subst
eld-farlig,adj
eld-fast,adj
eld-fängd,adj
eld-givning,subst
eld-hav,subst
eldning,subst
eldorado,subst
eld-prov,subst
eld-själ,subst
eld-stad,subst
elds-våda,subst
elefant,subst
elegans,subst
elegant,adj
elektricitet,subst
elektriker,subst
elektrisk,adj
elektron,subst
elektronik,subst
elektronisk,adj
element,subst
elementär,adj
elev,subst
elev-råd,subst
elfenben,subst
elfte,räkn
eliminerar,ver
elit,subst
eljest,adv
eller,konj
ellips,subst
el-ljus,subst
el-mätare,subst
eloge,subst
el-sits,subst
elva 1,räkn
elva 2,subst
el-verk,subst
elände,subst
eländig,adj
EM,förk
emalj,subst
emancipation,subst
emballage,subst
embargo,subst
embryo,subst
emedan,konj
emellan 1,se sitter emella
emellan 2,prep
emellanåt,adv
emellertid,adv
emigrant,subst
emigration,subst
emigrerar,ver
eminent,adj
emission,subst
emot,adv
emotionell,adj
emotser,ver
empirisk,adj
en 1,adv
en 2,obestämd artike
en 3,pron
en 4,räkn
en 5,subst
en face,adv
ena,pron
enahanda,adj
en-aktare,subst
enar,ver
en-armad,adj
enastående,adj
enbart,adv
enbent,adj
encyklopedi,subst
enda,adj
endast,adv
endera,pron
endräkt,subst
energi,subst
energi-knippe,subst
energisk,adj
enfaldig,adj
enfant terrible,subst
enformig,adj
enfärgad,adj
engagemang,subst
engagerar,ver
engagerar sig,ver
engelsk,adj
engelska,subst
engels-man,subst
engångs-,förle
enhet,subst
enhetlig,adj
enhällig,adj
enig,adj
enighet,subst
enkel,adj
enkelhet,subst
enkel-riktad,adj
enkel-spårig,adj
enklav,subst
en-krona,subst
enkät,subst
enl,förk
enlighet,subst
enligt,prep
en-mans-,förle
enorm,adj
en-rum,subst
ens,adv
en-sak,subst
ensam,adj
ensamhet,subst
ensam-stående,adj
ense,adj
ensemble,subst
en-sidig,adj
en-skild,adj
enslig,adj
ensling,subst
enstaka,adj
en-stämmig,adj
enstöring,subst
entledigar,ver
entré,subst
entreprenad,subst
entreprenör,subst
enträgen,adj
entusiasm,subst
entusiastisk,adj
entydig,adj
envar,pron
enveten,adj
environg(er),subst
envis,adj
envisas,ver
envishet,subst
envålds-härskare,subst
envälde,subst
enväldig,adj
enzym,subst
epidemi,subst
epilepsi,subst
epileptiker,subst
epileptisk,adj
episk,adj
episod,subst
epistel,subst
epok,subst
er,pron
era,subst
erbarmlig,adj
erbjudande,subst
erbjuder,ver
erbjuder sig,ver
erektion,subst
erfar,ver
erfaren,adj
erfarenhet,subst
erforderlig,adj
erfordrar,ver
ergonomi,subst
erhåller,ver
eriksgata,subst
erinran,subst
erinrar,ver
erinrar sig,ver
erkännande,subst
erkänner,ver
erlägger,ver
erotik,subst
ersättare,subst
ersätter,ver
ersättning,subst
ertappar,ver
erövrar,ver
eskimå,subst
eskort,subst
esperanto,nam
espresso,subst
ess,subst
esse,subst
essens,subst
essä,subst
estetisk,adj
estnisk,adj
estrad,subst
etablerad,adj
etablerar,ver
etablerar sig,ver
etablissemang,subst
etage-våning,subst
etapp,subst
etc,förk
eter,subst
eter-medier,subst
etik,subst
etikett,subst
etisk,adj
etnisk,adj
etsar,ver
ett 1,se en pron
ett 2,se en räkne
etta,subst
ettrig,adj
ett-årig,adj
etui,subst
europé,subst
europeisk,adj
ev,förk
evakuerar,ver
evakuering,subst
evangelisk,adj
evangelium,subst
evenemang,subst
eventualitet,subst
eventuell,adj
ever-green,subst
evig,adj
evighet,subst
evinnerlig,adj
evolution,subst
ex,förk
ex-,förle
exakt,adv
exalterad,adj
examen,subst
excellens,subst
excentrisk,adj
exceptionell,adj
exekution,subst
exekutiv,adj
exempel,subst
exempellös,adj
exempelvis,adv
exemplar,subst
exemplifierar,ver
exercis,subst
exil,subst
existens,subst
existens-berättigande,subst
existens-minimum,subst
existerar,ver
exkl,förk
exklusiv,adj
exklusive,prep
exlibris,subst
exotisk,adj
exp,förk
expanderar,ver
expansion,subst
expansiv,adj
expedierar,ver
expedit,subst
expedition,subst
experiment,subst
experimenterar,ver
expert,subst
expertis,subst
explicit,adj
exploaterar,ver
exploatering,subst
exploatör,subst
exploderar,ver
explosion,subst
explosiv,adj
expo,subst
exponerar,ver
export,subst
exporterar,ver
express 1,adv
express 2,subst
express-brev,subst
expressiv,adj
expropriation,subst
extas,subst
extatisk,adj
exteriör,subst
extern,adj
extra 1,adj
extra 2,adv
extra-knäck,subst
extra-knäcker,ver
extrakt,subst
extra-pris,subst
extrem,adj
extremist,subst
eye-liner,subst
f 1,förk
f 2,förk
f d,förk
f m,förk
f n,förk
f ö,förk
fabel,subst
fabricerar,ver
fabrik,subst
fabrikant,subst
fabrikat,subst
Fabriks,förk
fabulerar,ver
facilitet,subst
facit,subst
fack,subst
fack-förbund,subst
fack-förening,subst
fack-klubb,subst
fackla,subst
facklig,adj
Facklig Centralorganisation,se FC
fack-litteratur,subst
fack-man,subst
fack-press,subst
fadd,adj
fadder,subst
fader,se far subst
faderskap,subst
fadäs,subst
fager,adj
faggorna,subst
fajtas,ver
fakta,se faktu
faktisk,adj
faktiskt,adv
faktor,subst
faktum,subst
faktura,subst
fakultet,subst
falang,subst
falk,subst
fall,subst
fallen,adj
fallenhet,subst
faller,ver
fall-färdig,adj
fall-grop,subst
fallit,se falle
fallrepet,subst
fall-skärm,subst
falnar,ver
fals,subst
falsett,subst
falsk,adj
falu-korv,subst
familj,subst
familje-daghem,subst
familje-hem,subst
familje-pedagog,subst
familje-pension,subst
familje-planering,subst
familje-rådgivare,subst
familjär,adj
famlar,ver
famn,subst
famntag,subst
famös,adj
fan 1,subst
fan 2,subst
fana,subst
fanatiker,subst
fanatisk,adj
fanatism,subst
fanders,subst
fanér,subst
fanfar,subst
fanjunkare,subst
fann,se finne
fanns,se finn
fanskap,subst
fantasi,subst
fantast,subst
fantastisk,adj
fantastiskt,adv
fantiserar,ver
fantom,subst
far 1,subst
far 2,ver
fara,subst
far-bror,subst
far-far,subst
far-föräldrar,subst
farhåga,subst
farin,subst
farit,se far ver
farkost,subst
far-led,subst
farlig,adj
farm,subst
farmaceut,subst
far-mor,subst
faro-zon,subst
fars,subst
farsa,subst
farsot,subst
farstu,subst
fart,subst
fart-syndare,subst
fartyg,subst
far-vatten,subst
farväl,interj
fas,subst
fasa,subst
fasad,subst
fasan,subst
fasans-full,adj
fasar,ver
fascinerad,adj
fascinerande,adj
fascinerar,ver
fascism,subst
fascist,subst
fasett,subst
fasetterad,adj
fashionabel,adj
faslig,adj
fason,subst
fast 1,adj
fast 2,konj
fasta 1,subst
fasta 2,subst
fastar,ver
faster,subst
fastighet,subst
fastighets-domstol,subst
fastighets-mäklare,subst
fast-lagen,subst
fastlags-bulle,subst
fastlags-söndagen,subst
fast-land,subst
fastnar,ver
fast-slår,se slår fas
fast-ställer,ver
fastän,konj
fat,subst
fatal,adj
fatt 1,adv
fatt 2,subst
fattar,ver
fattas,ver
fattig,adj
fattigdom,subst
fattig-lapp,subst
fattning,subst
fauna,subst
favoriserar,ver
favorit,subst
favör,subst
FCO,förk
fe,subst
feature,subst
feber,subst
febrig,adj
febril,adj
februari,subst
federal,adj
federation,subst
feedback,subst
feg,adj
feghet,subst
fejar,ver
fejd,subst
fejkar,ver
fel 1,adj
fel 2,adv
fel 3,subst
felaktig,adj
felar,ver
fem,räkn
femdagars-vecka,subst
femdygns-prognos,subst
feminin,adj
feminism,subst
feminist,subst
fem-kamp,subst
femma,subst
fem-rummare,subst
femte,räkn
femti-elva,räkn
femti-lapp,subst
femtio,räkn
femtionde,räkn
femti-öring,subst
femton,räkn
femtonde,räkn
fem-öring,subst
fena,subst
fenomen,subst
fenomenal,adj
feodal,adj
feodalism,subst
ferie,subst
ferie-hem,subst
fernissa,subst
fernissar,ver
fertil,adj
fest,subst
festar,ver
festival,subst
festlig,adj
fet,adj
fet-knopp,subst
fetma,subst
fett,subst
fettisdag,subst
fia,subst
fiasko,subst
fiber,subst
fick,se får ver
ficka,subst
fick-lampa,subst
fick-pengar,subst
fick-tjuv,subst
fiende,subst
fientlig,adj
fiffel,subst
fiffig,adj
fifflar,ver
fifty-fifty,adj. 
figur,subst
figurerar,ver
fik,subst
fika,subst
fikar,ver
fikon,subst
fikon-språk,subst
fiktion,subst
fiktiv,adj
fikus,subst
fil 1,förk
fil 2,subst
fil 3,subst
fil 4,subst
filar,ver
filé,subst
filharmoniker,subst
filial,subst
film,subst
filmar,ver
filmatisering,subst
film-duk,subst
fil-mjölk,subst
filosof,subst
filosoferar,ver
filosofi,subst
filt,subst
filter,subst
filtrerar,ver
filur,subst
fimp,subst
fimpar,ver
fin,adj
final,subst
finans,subst
finansierar,ver
finansiär,subst
finemang,interj
finess,subst
finger,subst
fingerar,ver
finger-borg,subst
finger-färdig,adj
finger-visning,subst
fingrar på,ver
finish,subst
finito,adj
finka,subst
fin-kammar,ver
fin-känslig,adj
finlands-svensk,adj
fin-lemmad,adj
finländare,subst
finländsk,adj
fin-maskig,adj
fin-mekaniker,subst
finne,subst
finner,ver
finner sig i,ver
finns,ver
finsk,adj
finska,subst
fin-skuren,adj
fin-slipar,ver
fin-smakare,subst
fin-stilt,adj
fin-stämd,adj
fint,subst
fintar,ver
finurlig,adj
fiol,subst
FIOS,förk
firar,ver
firma,subst
fiser,ver
fisk,subst
fiskar,ver
fiskare,subst
fiske,subst
fiske-gräns,subst
fiske-kort,subst
fiske-läge,subst
fisk-mås,subst
fisk-pinnar,subst
fission,subst
fitta,subst
fix,adj
fixar,ver
fixare,subst
fixerar,ver
fjant,subst
fjol,subst
fjolla,subst
fjor,se fjol subst
fjord,subst
fjorton,räkn
fjortonde,räkn
fjun,subst
fjuttig,adj
fjäder,subst
fjädrar,ver
fjädring,subst
fjäll,subst
fjärd,subst
fjärde,räkn
fjäril,subst
fjärmar sig,ver
fjärran,adv
fjärr-styrd,adj
fjärr-värme,subst
fjärt,subst
fjärtar,ver
fjäsk,subst
fjäskar,ver
fjäskig,adj
fjättrar,ver
flabb,subst
flabbar,ver
flack,adj
flackar,ver
fladder-mus,subst
fladdrar,ver
flaga,subst
flagar,ver
flagg,subst
flagga,subst
flaggar,ver
flagg-skepp,subst
flagnar,ver
flagrant,adj
flak,subst
flamberar,ver
flamma,subst
flammar,ver
flammig,adj
flamsk-vävnad,subst
flanell,subst
flanerar,ver
flaska,subst
flask-hals,subst
flat,adj
flathet,subst
flaxar,ver
fler,adj
flera,pron
flerfamiljs-hus,subst
flertal,subst
flest(a),se fle
flexar,ver
flexibel,adj
flex-tid,subst
flicka,subst
flick-namn,subst
flick-vän,subst
flik,subst
flimmer,subst
flimrar,ver
flin,subst
flinar,ver
flinga,subst
flink,adj
flint,subst
flinta,subst
flint-skallig,adj
flipper-spel,subst
flirt,se flör
flis,subst
flisa,subst
flit,subst
flitig,adj
flock,subst
flod,subst
flop,subst
flor,subst
flora,subst
florerar,ver
flor-socker,subst
floskel,subst
flott 1,adj
flott 2,subst
flotta,subst
flottar,ver
flotte,subst
flottilj,subst
flottning,subst
fluga,subst
flugit,se flyge
flug-smälla,subst
flug-snappare,subst
flug-svamp,subst
fluktuerar,ver
flummig,adj
flundra,subst
fluor,subst
flutit,se flyte
flux,adv
flyg,subst
flygare,subst
flyg-blad,subst
flygel,subst
flyger,ver
flyg-larm,subst
flyg-plan,subst
flyg-plats,subst
flyg-vapen,subst
flyg-värdinna,subst
flyhänt,adj
flykt,subst
flyktig,adj
flykting,subst
flyr,ver
flyt,subst
flyter,ver
flytning,subst
flyttar,ver
flyttar sig,ver
flyttbar,adj
flytt-fågel,subst
flytt-lass,subst
flyttlass-politik,subst
flyttning,subst
flyttnings-anmälan,subst
flyttnings-bidrag,subst
flyttnings-hjälp,subst
flyt-väst,subst
flår,ver
flåsar,ver
flåshurtig,adj
fläck,subst
fläckig,adj
fläkt,subst
flämtar,ver
fläng,subst
flärd,subst
fläsk,subst
fläsk-pannkaka,subst
fläta,subst
flätar,ver
flödar,ver
flöde,subst
flög,se flyge
flöjt,subst
flört,subst
flöt,se flyte
flöte,subst
FN,förk
fnask,subst
fnatt,subst
fnissar,ver
fnittrar,ver
fnurra,subst
fnyser,ver
fnöske,subst
foajé,subst
fobi,subst
foder,subst
fodral,subst
fog 1,subst
fog 2,subst
fogar,ver
fogar sig,ver
fogde,subst
fokus,subst
folder,subst
folie,subst
folk,subst
folk-bokföring,subst
folk-grupp,subst
folk-hem(met),subst
folk-högskola,subst
folklig,adj
folk-lore,subst
folk-mun,subst
folk-omröstning,subst
folk-park,subst
Folkpartiet liberalerna,nam
folk-pension,subst
folk-rörelse,subst
folk-skola,subst
folkslag,subst
folk-storm,subst
folk-tandvård,subst
folk-öl,subst
fond,subst
fontän,subst
for,se far ver
forcerar,ver
fordon,subst
fordons-skatt,subst
fordran,subst
fordrar,ver
fordring,subst
forell,subst
form 1,subst
form 2,subst
formalin,subst
formalism,subst
formalitet,subst
formar,ver
format,subst
formation,subst
formbar,adj
formel,subst
formell,adj
form-givare,subst
form-givning,subst
formlig,adj
formligen,adv
form-sak,subst
formulerar,ver
formulering,subst
formulär,subst
forn,adj
forn-tid,subst
fors,subst
forsar,ver
forskar,ver
forskare,subst
forskning,subst
forslar,ver
fort,adv
fortbestånd,subst
fortbildning,subst
fortfarande,adv
fortgår,ver
fortkörare,subst
fort-körning,subst
fort-löpande,adj
fortplantar sig,ver
fortskaffnings-medel,subst
fortskrider,ver
fortsätter,ver
fortsättning,subst
forum,subst
forward,subst
fosfat,subst
fosfor,subst
fossil 1,adj
fossil 2,subst
foster,subst
foster-barn,se familjehe
foster-förälder,se familjehe
foster-hem,se familjehe
foster-land,subst
fostran,subst
fostrar,ver
fot,subst
fotar,ver
fot-boll,subst
fot-folk,subst
fot-fäste,subst
fot-gängare,subst
fot-not,subst
foto-,förle
foto,subst
fotogen,subst
fotograf,subst
fotograferar,ver
fotografering,subst
fotografi,subst
fotokopia,subst
foto-sättning,subst
fot-spår,subst
fot-steg,subst
foxterrier,subst
fp,förk
fr o m,förk
frack,subst
fradga,subst
fragment,subst
frakt,subst
fraktar,ver
fraktion,subst
fraktur,subst
fram,adv
frambringar,ver
framdeles,adv
framfart,subst
framfusig,adj
framför 1,prep
framför 2,ver
framgång,subst
framgår,ver
framhjul,subst
framhåller,ver
framhärdar,ver
framhäver,ver
framifrån,adv
framkallar,ver
framkallning,subst
framkastar,ver
framkomlig,adj
framkommer,ver
framliden,adj
framlägger,ver
framlänges,adv
frammarsch,subst
framme,adv
framsida,subst
fram-skjuten,adj
framskriden,adj
framsteg,subst
framstupa,adv
fram-stående,adj
framstår,ver
framställer,ver
framställning,subst
framstöt,subst
framsynt,adj
framsäte,subst
framtand,subst
framtid,subst
framtida,adj
framtill,adv
framtoning,subst
framträdande 1,adj
framträdande 2,subst
framträder,ver
framtvingar,ver
framåt,adv
framåtanda,subst
framåtskridande,subst
framöver,adv
frank,adj
frankerar,ver
frans,subst
fransk,adj
franska,subst
franskbröd,subst
frans-man,subst
fransyska,subst
frapperar,ver
fras,subst
frasar,ver
frasig,adj
fred,subst
fredag,subst
fredlig,adj
fredlös,adj
freds-plikt,subst
freds-tid,subst
freestyle,subst
frekvens,subst
frenetisk,adj
frestad,adj
frestar,ver
frestelse,subst
fri,adj
friar,ver
friare,subst
frid,subst
fri-dag,subst
fridfull,adj
frid-lyser,ver
fri-ger,ver
friggebod,subst
frigid,adj
fri-gjord,adj
fri-gör,ver
fri-handel,subst
friherre,subst
frihet,subst
fri-idrott,subst
frikadeller,subst
fri-kallad,adj
fri-kallar,ver
fri-kostig,adj
friktion,subst
fri-kyrka,subst
fri-kyrklig,adj
frikänner,ver
fri-köper,ver
fri-lans,subst
frilufts-,förle
Frilufts-främjandet,nam
frilufts-område,subst
frimurare,subst
frimärke,subst
fri-religiös,adj
fri-sinnad,adj
frisk,adj
frisk-intyg,subst
frisk-sportare,subst
fri-släpper,ver
fri-språkig,adj
frissa,subst
frist,subst
fri-stad,subst
fri-stående,adj
fri-ställd,adj
fri-ställer,ver
frisyr,subst
frisör,subst
fri-tar,ver
friterar,ver
fri-tid,subst
fritids-gård,subst
fritids-hem,subst
fritids-hus,subst
fritids-nämnd,subst
fritis,subst
fri-villig,adj
frivillig socialhjälp,subst
frodas,ver
frodig,adj
from,adj
fromma,subst
front,subst
frontal-,förle
frossa,subst
frossar,ver
frost,subst
frostar av,ver
frotté,subst
fru,subst
fruga,subst
frukost,subst
frukt,subst
fruktan,subst
fruktans-värd,adj
fruktar,ver
fruktbar,adj
fruktlös,adj
fruktsam,adj
fruntimmer,subst
fruntimmers-veckan,nam
frusen,adj
frusit,se fryse
frustar,ver
frustration,subst
frustrerad,adj
frys,subst
fryser,ver
fryser ut,ver
fråga,subst
frågar,ver
fråge-ställning,subst
fråge-tecken,subst
frågvis,adj
från 1,se ifrån adv
från 2,prep
frånsett,adv
frånskild,adj
frånstötande,adj
frånvarande,adj
frånvaro,subst
fräck,adj
fräckis,subst
fräknar,subst
fräknig,adj
frälser,ver
Frälsningsarmén,nam
främjar,ver
främling,subst
främlings-pass,subst
främmande 1,adj
främmande 2,subst
främre,adj
främst 1,adj
främst 2,adv
frän,adj
fräs,subst
fräsch,adj
fräschar upp,ver
fräser,ver
fräsig,adj
fräter,ver
frö,subst
fröjd,subst
fröken,subst
Fröken Ur,nam
frös,se fryse
fuffens,subst
fukt,subst
fuktar,ver
fuktig,adj
ful,adj
fuling,subst
full,adj
full-bokad,adj
fullbordar,ver
full-fjädrad,adj
fullföljds-hänvisning,subst
fullföljer,ver
fullgör,ver
fullkomlig,adj
fullkorn,subst
fullmakt,subst
full-måne,subst
fullmäktige,se kommunfullmäktig
fullo,subst
fullsatt,adj
fullständig,adj
fullständigt,adv
fulltalig,adj
fullträff,subst
fullvuxen,adj
fullvärdig,adj
fulländad,adj
ful-snygg,adj
fumlar,ver
fumlig,adj
fundament,subst
fundamental,adj
fundamentalist,subst
funderar,ver
fungerar,ver
funkar,ver
funkis,subst
funktion,subst
funktionalism,subst
funktionell,adj
funktionär,subst
funnit,se finne
funnits,se finn
funtad,adj
fur,subst
fura,subst
furir,subst
furste,subst
furu,subst
fusion,subst
fusk,subst
fuskar,ver
futtig,adj
futurum,subst
fy,interj
fylla,subst
fylld,adj
fyller,ver
fylleri,subst
fyllerist,subst
fyllig,adj
fyllnads-,förle
fyllo,subst
fynd,subst
fyndar,ver
fyndig,adj
fyndighet,subst
fyr,subst
fyra 1,räkn
fyra 2,subst
fyrkant,subst
fyrkantig,adj
Fyrstadskretsen,nam
fyrtio,räkn
fyrtionde,räkn
fyrverkeri,subst
fysik,subst
fysikalisk,adj
fysiologisk,adj
fysisk,adj
få,pron
fåfäng,adj
fågel,subst
fåll,subst
fållar,ver
fåne,subst
fång,subst
fånga,subst
fångar,ver
fånge,subst
fångenskap,subst
fångst,subst
fånig,adj
fån-tratt,subst
få-ordig,adj
får 1,subst
får 2,ver
fåra,subst
får-skalle,subst
få-tal,subst
fått,se får ver
fåtölj,subst
fä,subst
fäderne,subst
fädernes-land,subst
fägring,subst
fä-hund,subst
fäktar,ver
fälg,subst
fälla,subst
fäller,ver
fält-,förle
fält,subst
fält-assistent,subst
fängelse,subst
fängslande,adj
fängslar,ver
fänrik,subst
färd,subst
färdas,ver
färde,subst
färdig,adj
färdighet,subst
färdigställer,ver
färd-tjänst,subst
färg,subst
färgad,adj
färgar,ver
färg-blind,adj
färg-glad,adj
färg-handel,subst
färg-lägger,ver
färglös,adj
färg-stark,adj
färja,subst
färre,pron
färs,subst
färsk,adj
fäste,subst
fäster,ver
fästing,subst
fäst-man,subst
fäst-mö,subst
fästning,subst
föda,subst
födelse,subst
födelse-dag,subst
födelse-datum,subst
födelse-kontroll,subst
födelse-nummer,subst
födelse-tid,se födelsedatu
föder,ver
föder upp,ver
föds,ver
födsel,subst
föga 1,adj
föga 2,adv
föga 3,subst
fögderi,subst
föl,subst
följaktligen,adv
följande,adj
följd,subst
följd-riktig,adj
följe,subst
följer,ver
följer upp,ver
följe-slagare,subst
följetong,subst
föll,se falle
fönster,subst
för 1,adv
för 2,konj
för 3,prep
för 4,ver
förakt,subst
föraktar,ver
förakt-full,adj
föraktlig,adj
föraning,subst
förankrar,ver
förankring,subst
föranledd,adj
föranleder,ver
föranlåten,adj
förare,subst
förargad,adj
förargar,ver
förargelse,subst
förarglig,adj
förar-prov,subst
förband 1,se förbinde
förband 2,subst
förbannad,adj
förbannar,ver
förbannat,adv
förbannelse,subst
förbarmar sig,ver
förbaskad,adj
förbaskat,adv
förbehåll,subst
förbehåller,ver
förberedelse,subst
förberedelse-klass,subst
förbereder,ver
förbi 1,adv
förbi 2,adj
förbi-fart,subst
förbi-gående,subst
förbigår,ver
förbindelse,subst
förbinder,ver
förbinder sig,ver
förbi-seende,subst
förbi-ser,ver
förbistring,subst
förbjuden,adj
förbjuder,ver
förbjöd,se förbjude
förblev,se förbli
förblir,ver
förbluffar,ver
förblöder,ver
förbrukar,ver
förbrukning,subst
förbruknings-artikel,subst
förbryllar,ver
